cas,smile,odors
40323-88-4,CCc1sc(C)cc1,"brûlé,éther,fruité,géranium,huile,phénolé,solvant,vert"
40348-72-9,COC(=O)C(O)CC(C)C,"fruité,moisi"
40379-24-6,CC(C)CCCCCCOC(C)=O,"boisé,cumin,herbe"
40527-42-2,CCOC(OCC)c1ccc2OCOc2c1,"doux,épicé,héliotrope"
40596-76-7,CC(O)CC(C)CCC=C(C)C,"agrume,citron,floral,raisin"
40654-82-8,CC(CCc1ccccc1)C=O,"floral,moisi,terre"
40716-66-3,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C,"agrume,boisé,cire d'abeille,floral,fruité,melon,vert"
4077-47-8,COC1=C(C)OC(C)C1=O,"cacao,café,caramel,champignon,confiture,doux,fruit à coque,fruité,légume,moisi,pomme de terre,sucre brûlé,terre,wasabi"
40785-62-4,C1CCCCC2COCC2\C=C/CCC1,"animal,musc"
40789-98-8,CC(S)C(C)=O,"alliacé,café,chocolat,chou,friture,gaz,gras,oignon,soufré,viande cuite"
40790-04-3,CC(=O)CCSCCC(C)=O,"frais,vert"
40853-53-0,CC(C)C/C=C(/CO)C(C)C,"boisé,herbe,menthé,romarin"
40853-56-3,CC(C)C\C=C(/COC(C)=O)C(C)C,"boisé,herbe,menthé"
40878-72-6,CSC\C(=C/C)C=O,"chou,cuit,oignon cuit,soufré"
409-02-9,CC(C)=CCCC(C)=O,"café,fruit à coque,noisette"
40910-49-4,CCOC(C)OC(C)(CCC=C(C)C)C=C,"floral,frais,herbe,muguet"
40923-64-6,CCCCCCCC1CC(C)OC1=O,"agrume,cire d'abeille,crème,doux,fruité,gras,vert"
40942-73-2,CCCCCC1C(CCC1=O)CC(C)=O,"jasmin,magnolia"
4104-45-4,CSCCC[NH3+],"fromage,légume"
41114-00-5,CCCCCCCCCCCCCCC(=O)OCC,doux
4112-89-4,COc1ccccc1OC(=O)Cc2ccccc2,"anisé,boisé,chimique,doux,épicé,floral,miel,phénolé,poudré,trèfle,vanille"
41199-19-3,CC1(O)CCC2C(=CCCC2(C)C)C1,"ambre gris,animal,boisé,herbe,humus,moisi,musc,racine,terre,thé"
41239-48-9,CCC1CCC(CC)O1,"caramel,herbe"
41270-80-8,COC(=O)c1ccccc1NC=O,raisin
4128-17-0,CC(=O)OC/C=C(C)/CC/C=C(C)/CCC=C(C)C,cire d'abeille
41453-56-9,CCCCCC\C=C/CO,"concombre,doux,gras,melon,suif,vert"
41519-18-0,C\C=C(/C)C(=O)OCCC(C)C,"angélique,fruité,herbe,vin"
41519-23-7,CC\C=C/CCOC(=O)C(C)C,"asperge,doux,épicé,feuille de tomate,fruité,goyave,haricot vert,mangue,noisette,poire,pomme,vert,violette"
41610-76-8,CC(=O)OC(C)(CCC1OC1(C)C)C=C,"bergamote,boisé,floral"
4166-20-5,CC1OC(=C(OC(C)=O)C1=O)C,"baie,caramel,caramel au beurre,doux,fraise,fruité,gras,mélasse,pain,sucre brûlé"
41678-36-8,CC(C)CCCC(C)C(O)=C,"herbe,pin"
41724-19-0,CC1CC2C3CCC(C3)C2CC1=O,"absinthe,boisé,cèdre,framboise,fruité,genévrier,pin"
4180-23-8,COc1ccc(\C=C\C)cc1,"anis,doux,épicé,médicinal,mimosa,réglisse"
41816-03-9,CC1OC12CC3CC2C4CC(=CCC34)C,"boisé,épicé,floral,fruité,rhubarbe"
41820-22-8,CCC(=O)SCC=C,"ail,doux,frais,gaz,légume,oignon,vert"
41847-88-5,O=CCOCCc1ccccc1,"rose,vert"
41890-92-0,COC(C)(C)CCCC(C)C(C)O,"boisé,floral,santal,savon"
41892-36-8,CCCCCCCCCCO[S](C)=O,fruité
42075-45-6,CCC(C)C(=O)SC,"chou,doux,fruité"
42078-65-9,CC(C)=CC(=O)OCCc1ccccc1,"herbe,vin"
4208-49-5,C=CCOC(=O)c1occc1,"confiture,fruité"
4208-57-5,CCCC(=O)c1occc1,fruité
4221-98-1,CC(C)[C@H]1CC=C(C)C=C1,médicinal
4221-99-2,CCC(C)O,vin
42288-75-5,O=C(Cc1ccccc1)OC2CCCCC2,rose
4230-97-1,CCCCCCCC(=O)OCC=C,"ananas,banane,cire d'abeille,doux,fruité,gras,vert"
42348-12-9,CCC1=C(O)C(=O)CC1C,"caramel,sirop d'érable"
42370-07-0,CC(=O)C1C2CCC(C2)C1(C)C,"boisé,herbe,menthé,pomme"
42436-07-7,CC\C=C/CCOC(=O)Cc1ccccc1,"cire d'abeille,floral,kiwi,légume,melon,miel,pois de senteur,rose,vert"
42474-44-2,CSCSSC,oignon
4253-89-8,CC(C)SSC(C)C,"chou,oignon,soufré"
42604-12-6,COCOC1CCCCCCCCCCC1,"ambre gris,cèdre,poussière"
4265-16-1,O=Cc1oc2ccccc2c1,"amande amère,fève tonka,fruit à coque"
4265-97-8,CCCCCCCOC(=O)CCCCCCC,"cire d'abeille,frais,fruité,gras,huile,moisi,vert"
42822-86-6,CC1CCC(C(O)C1)C(C)(C)O,"eucalyptus,floral,fruité,géranium,herbe,lavande,rose,thé,vert"
42824-62-4,C1CCCCCC2COCC2CCCC1,ambre gris
42919-64-2,CSCCCC=O,ail
42968-14-9,CC(=O)C(/C)=C/c1ccccc1,"baie,camphre"
42998-51-6,CCOC(=O)CC(=O)OCc1ccccc1,"pomme,vin"
43039-98-1,CCC(=O)c1sccn1,"fruit à coque,pain,pop corn"
43052-87-5,C/C=C/C(=O)C1C(=CCCC1(C)C)C,"baie,boisé,doux,épicé,floral,fruité,menthé,métal,pomme,prune,vert"
431-03-8,CC(=O)C(C)=O,"beurre,caramel,crème,doux,lait frais"
4312-99-6,CCCCCC(=O)C=C,"champignon,chou,crème,légume,métal,moisi,poisson,poulet,terre"
4313-03-5,CC/C=C/C=C/C=O,"aldéhyde,cannelle,graisse,graisse animale,gras,huile,légume,vert"
432-25-7,CC1=C(C=O)C(C)(C)CCC1,"cuir,doux,fruité,herbe,médicinal,phénolé,rose,safran,tabac,vert"
4342-60-3,CC1=CCC(CC1)C(O)=O,"castoréum,cèdre,cumin"
4351-10-4,CCCCCCC1OCC(C)O1,gras
4351-54-6,O=COC1CCCCC1,"banane,cerise,confiture,doux,éther,frais,fruité,vert"
4353-01-9,CC1COC(O1)\C=C\c2ccccc2,cannelle
4359-47-1,CCCCC(CC)C1OCCO1,"chrysanthème,fruité,gardénia,métal,radis"
4359-57-3,CCCCCCCC1OCCO1,"agrume,aldéhyde,gras,orange"
4360-47-8,N#C/C=C/c1ccccc1,cannelle
4361-23-3,CC(O)CCC1C(C)CCCC1(C)C,"boisé,violette"
4362-22-5,CC(C1OCCO1)c2ccccc2,"champignon,terre,vert"
4364-06-1,COC(OC)/C=C/c1ccccc1,"cannelle,épicé,herbe,vert"
4395-92-0,CC(C)c1ccc(CC=O)cc1,"aldéhyde,cumin,fleur de troëne,herbe,terre,vert"
4407-36-7,OC/C=C/c1ccccc1,"balsamique,épicé,jacinthe,poudré,vert"
4410-99-5,SCCc1ccccc1,soufré
4411-89-6,C\C=C(C=O)/c1ccccc1,"cacao,floral,fruit à coque,légume,miel,moisi,narcisse,poudré,radis,vert"
4430-31-3,O=C1CCC2CCCCC2O1,"boisé,coumarine,crème,doux,fève tonka,herbe,lactique,lait frais,noix de coco,vanille"
4430-36-8,CSCCCCN=C=S,radis
4430-42-6,CSCCCCCN=C=S,radis
4433-36-7,CC(CCCC(C)=O)CCC=C(C)C,"balsamique,boisé,floral,rose"
4437-20-1,C(SSCc1occc1)c2occc2,"café,chou,oignon,pomme de terre,poulet,soufré,viande cuite"
4437-22-3,C(OCc1occc1)c2occc2,"café,champignon,fruit à coque,terre"
4437-51-8,CCC(=O)C(=O)CC,"amande torréfiée,beurre,caramel,fruit à coque"
4440-65-7,CC/C=C/CC=O,"cannelle,cire d'abeille,épicé,légume,melon,pomme,tomate,vert"
4442-79-9,OCCC1CCCCC1,"cire d'abeille,floral,frais,huile,lys,pivoine,rose,vert"
4455-13-4,CCOC(=O)CSC,"fruité,vert"
4466-24-4,CCCCc1occc1,"doux,épicé,vin"
4493-42-9,CCCCC\C=C/C=C/C(=O)OC,"cire d'abeille,poire"
4500-58-7,CCc1ccccc1[S-],"fumée,phénolé"
4501-58-0,CC(=O)C1CC=C(C)C1(C)C,"ambre gris,boisé,chrysanthème,coriandre,épicé,herbe,vert"
45019-28-1,CCCCC[C@@H](C)CCC([O-])=O,"agneau,chèvre,gras,poulet"
4532-64-3,CC(S)C(C)S,"alliacé,café,gras,œuf,porc cuit,soufré"
4536-23-6,CCCC[C@@H](C)C([O-])=O,"crème,fromage,graisse de poulet,gras,huile,lactique,poulet,saindoux"
4573-50-6,CC(C)[C@H]1CCC(=CC1=O)C,"épicé,frais,herbe,menthé,menthe poivrée,menthol"
458-36-6,COc1cc(\C=C\C=O)ccc1O,"cookie,costarde,croûte de pain,grain torréfié,lactique,orge torréfiée,pain,poudré,vanille"
459-80-3,CC(C)=CCC\C(C)=C\C(O)=O,"boisé,doux,graisse animale,herbe,moisi,vert"
4602-84-0,CC(C)=CCC\C(C)=C\CC\C(C)=C\CO,"angélique,coriandre,doux,fleur de tilleul,floral,frais,métal,pêche,poire,prune,tilleul,vert"
4606-15-9,CCCOC(=O)Cc1ccccc1,"abricot,balsamique,doux,fermentaire,floral,miel,rose"
4621-04-9,CC(C)C1CCC(O)CC1,"herbe,métal,poussière,rose,vert"
4625-90-5,CC(C)[C@@H]1CCC2(CC1)CCC(=O)O2,herbe
4630-07-3,CC1CCC=C2CCC(CC12C)C(C)=C,"agrume,boisé,frais,fruité,huile,orange,raisin,vert,zesté"
4630-82-4,COC(=O)C1CCCCC1,"ananas,baie,banane,crème,doux,ester,éther,floral,frais,fruité,lait frais,menthé,moisi"
464-43-7,CC1(C)C2CCC1(C)[C@@H](O)C2,"camphre,terre"
464-45-9,CC1(C)[C@@H]2CC[C@]1(C)[C@H](O)C2,"boisé,camphre,herbe,menthé,moisi,poivre,terre"
464-49-3,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,"boisé,camphre,frais,herbe,médicinal,menthé,menthol,phénolé,vert"
4643-25-8,CCCC(=O)\C=C\C,"asperge,légume"
4643-27-0,CCCCC(=O)/C=C/C,"ananas,champignon,confiture,fermentaire,fruité,légume,levure,métal,moisi,oignon,pain,poisson,raifort,terre,vert"
465-31-6,CC1(C)C2CCC(C2)C1(C)O,"camphre,moisi"
4673-31-8,CCCc1cccnc1,"boisé,moisi,terre,vert"
4674-50-4,CC1CC(=O)C=C2CCC(CC12C)C(C)=C,"agrume,boisé,doux,gardénia,orange,raisin"
4675-87-0,C/C=C(C)/CO,huile
469-61-4,C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C,"cèdre,doux,frais"
4695-62-9,CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,"boisé,camphre,cèdre,doux,frais,herbe,menthé,menthol,moisi,pin,terre"
470-67-7,CC(C)C12CCC(C)(CC1)O2,"camphre,eucalyptus,frais,herbe,menthé,menthol,pin,vert"
470-82-6,CC12CCC(CC1)C(C)(C)O2,"camphre,doux,eucalyptus,frais,herbe,médicinal,menthé"
4707-47-5,COC(=O)c1c(C)cc(O)c(C)c1O,"boisé,épicé,mousse,phénolé,poudré,terre"
472-66-2,CC1=C(CC=O)C(C)(C)CCC1,"agrume,baie,boisé,camphre,frais,fruité,herbe,huile,savon"
472-97-9,CC1(C)CC2C1CCC3(C)CCCC2(O)C3,"épicé,mousse,terre"
473-03-0,CC(\CC[C@@H]1C(=C)CCCC1(C)C)=C/CCC2[C@](C)(O)CCC3C(C)(C)CCC[C@]23C,"ambre gris,boisé"
473-15-4,CC(C)(O)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@@H]2C1,vert
473-62-1,C[C@@H]1[C@H]2C[C@H](CC1=O)C2(C)C,"pin,sapin"
473-67-6,CC1=CC(O)C2CC1C2(C)C,"herbe,ozone,pin"
4747-07-3,CCCCCCOC,"éther,fruité,herbe,lavande,peinture"
4748-78-1,CCc1ccc(C=O)cc1,"anis,cerise,doux"
475-20-7,CC1(C)CCCC2(C)C3CCC(C13)C2=C,"ambre gris,boisé,herbe,médicinal,pin,rose,sapin"
4798-44-1,CCCC(O)C=C,"fruité,gras,rhum,terre,vert"
4819-67-4,CCCCCC1CCCC1=O,"herbe,huile,jasmin,rose,vert"
4826-62-4,CCCCCCCCC\C=C/C=O,"agrume,cire d'abeille,coriandre,fruité,gras,herbe,mandarine,orange,zesté"
4829-04-3,C1CSCS1,"doux,oignon,oignon cuit,soufré"
483-76-1,CC(C)C1CCC(=C2CCC(=CC12)C)C,"bois,boisé,herbe,médical"
483-77-2,CC(C)C1CCC(C)c2ccc(C)cc12,épicé
484-12-8,COc1ccc2C=CC(=O)Oc2c1CC=C(C)C,herbe
484-31-1,COc1c(CC=C)cc2OCOc2c1OC,épicé
4861-58-9,CCCCCc1sccc1,"canneberge,fermentaire,fruit à coque,fruité,gras,maïs,menthé,noisette torréfiée,orge torréfiée,poulailler,sang"
4861-85-2,CC(C)OC(=O)Cc1ccccc1,"balsamique,chèvrefeuille,doux,fermentaire,floral,miel,poudré,rose"
487-11-6,COc1cc(CC=C)cc(OC)c1OC,floral
488-10-8,CC\C=C/CC1=C(C)CCC1=O,"agrume,boisé,épicé,floral,herbe,jasmin,thé"
4883-60-7,C[C@@H]1CC(C)(C)CC(=O)C1=O,"boisé,brûlé,épicé,fruit à coque,fumée,phénolé,poudré,tabac"
4884-24-6,O=C1CCCC1C2CCCC2,"aldéhyde,boisé,menthé,vert"
489-40-7,C[C@@H]1CCC2C(C3=C(C)CC[C@H]13)C2(C)C,balsamique
489-86-1,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O,"balsamique,boisé"
490-03-9,CC(C)C1CCC(=C(O)C1=O)C,"bourgeon de cassis,buchu"
491-01-0,CC(C)[C@H]1CC[C@@H](C)CC1O,"frais,menthé"
491-07-6,CC(C)C1CCC(C)CC1=O,"camphre,doux,éther,frais,menthé,menthe poivrée,menthol"
491-09-8,CC(C)=C1CCC(=CC1=O)C,phénolé
491-35-0,Cc1ccnc2ccccc12,"brûlé,doux,floral,herbe,huile"
4927-36-0,Cc1ccc(cc1)[S](=O)(=O)/C(=C/N2CC(=O)NC2=S)C#N,"boisé,floral,rose"
4927-39-3,CC(=O)CC(C)(C)C1CCCCC1,"boisé,cire d'abeille"
4938-52-7,CCCCC(O)C=C,"acrylate,champignon,doux,épicé,fruité,herbe,métal,plastique,terre,tomate,vert"
494-90-6,C[C@@H]1CCc2c(C)coc2C1,"café,fruit à coque,moisi,terre"
4940-11-8,CCC1=C(O)C(=O)C=CO1,"barbe à papa,bonbon,caramel,confiture,doux,fraise,sucre brûlé"
495-40-9,CCCC(=O)c1ccccc1,"cerise,noisette,noix"
495-60-3,C[C@@H](CCC=C(C)C)[C@H]1CC=C(C)C=C1,frais
495-61-4,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C,boisé
495-62-5,CC(C)=CCC\C(C)=C/1CCC(=CC1)C,"agrume,banane,boisé,épicé,floral,fruité,myrrhe,vert"
495-76-1,OCc1ccc2OCOc2c1,"poudré,vanille"
4951-48-8,CCC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,"floral,herbe,pivoine,rose"
49576-57-0,CCCCC\C=C(/C)C=O,vert
496-77-5,CCCC(O)C(=O)CCC,"beurre,fruit à coque"
496-78-6,Cc1cc(C)c(O)cc1C,"chimique,phénolé"
49773-24-2,CCOC(=O)C(C)(C)SC,"éther,fruité,menthé,soufré"
498-00-0,COc1cc(CO)ccc1O,"caramel,costarde,crème,doux,fève tonka,lait frais,noix de coco,phénolé,poudré,vanille"
498-02-2,COc1cc(ccc1O)C(C)=O,vanille
498-81-7,CC1CCC(CC1)C(C)(C)O,"boisé,citron vert,herbe,pin,terre"
4984-01-4,CC(C)CCCC(C)C=C,"herbe,pin"
499-44-5,CC(C)C1=CC(=O)C(=CC=C1)O,"boisé,mousse"
499-54-7,CC(C)C1CCC(C)CC(=O)O1,"mélasse,sirop d'érable"
499-70-7,CC(C)C1CCC(C)C(=O)C1,"frais,menthé,menthe verte,vert"
499-75-2,CC(C)c1ccc(C)c(O)c1,"boisé,camphre,épicé,frais,fumée,herbe,médicinal,phénolé,thym"
4996-48-9,CCCCCOC(=O)c1occc1,"anis,fenouil,huile,vin"
50-70-4,OCC(O)C(O)C(O)C(O)CO,caramel
500-02-7,CC(C)C1CCC(=O)C=C1,"boisé,carvi,cumin,herbe"
5009-32-5,CC(=O)CCCCCC=C,cuit
501-19-9,COc1ccc(CC=C)cc1O,œillet
501-52-0,OC(=O)CCc1ccccc1,"cannelle,gras,musc,rose"
501-92-8,Oc1ccc(CC=C)cc1,"herbe,médicinal,phénolé"
501-94-0,OCCc1ccc(O)cc1,"floral,fruité"
502-47-6,CC(CCC=C(C)C)CC(O)=O,"agrume,cire d'abeille,citronelle,floral,fruité,fumée,gras,herbe,légume,melon,rose,tabac"
502-61-4,CC(C)=CCC\C(C)=C\C\C=C(/C)C=C,"agrume,bergamote,boisé,doux,floral,foin,frais,fruité,gras,herbe,lavande,légume,myrrhe,vert"
502-69-2,CC(C)CCCC(C)CCCC(C)CCCC(C)=O,"artichaut,boisé,carambole,herbe,jasmin,kiwi,melon,pastèque,vert,vin"
502-72-7,O=C1CCCCCCCCCCCCCC1,"animal,graisse animale,musc"
502-99-8,CC(=C)CC\C=C(/C)C=C,"floral,linge humide"
503-74-2,CC(C)CC(O)=O,"baie,cire d'abeille,crème,doux,fermentaire,fromage,fruité,gras,lactique,rance"
50306-18-8,CC\C=C/CC(O)C=C,"champignon,marin,métal"
50363-43-4,CC1CSCS1,"alliacé,légume,oignon,racine,tomate,viande cuite"
50373-36-9,C[C@@H]1CC[C@H]([C@H](O)C1)C(C)=C,"floral,fruité,géranium,herbe,lavande,rose,thé,vert"
505-10-2,CSCCCO,"ail,bouillon,bouillon de légumes,cuit,doux,légume,oignon,pomme de terre,soufré"
505-23-7,C1CSCSC1,"ail,métal,oignon"
505-29-3,C1CSCCS1,"ail,champignon,dinde cuite,fermentaire,fruit de mer,huître,oignon,palourde,solvant"
505-32-8,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C,"agrume,herbe,huile,vert"
505-57-7,CCC/C=C/C=O,"amande amère,fruité,légume,pomme,prune,rance,vert"
505-79-3,CSCCCN=C=S,"légume,métal,racine,radis,raifort,soufré,terre"
505-90-8,CCCCC\C=C/CCC(O)=O,vert
50607-64-2,CCCC(C)C=Nc1ccccc1C(=O)OC,"agrume,cumin,fruité,raisin,vert"
50623-57-9,CCCCCCCCC(=O)OCCCC,"abricot,rose"
50626-02-3,CCOC(=O)c1ccoc1c2ccccc2,fruité
507-09-5,CC(S)=O,brûlé
507-70-0,CC1(C)C2CCC1(C)C(O)C2,"balsamique,boisé,camphre"
50746-10-6,CC(C)(S)CCOC=O,"café,caramel,oignon,viande cuite"
5077-67-8,CCC(=O)CO,"alcool,café,caramel au beurre,doux,grain,grain torréfié,huile,malté,moisi"
50816-18-7,CC(=O)OCCCCCCCCC=C,"ambrette,magnolia,pivoine"
50862-12-9,CCCCCCCOC(=O)C(C)CC,pomme
50980-84-2,CCCC(=O)OCC(C)OC(=O)CCC,"beurre,fruité"
51-67-2,NCCc1ccc(O)cc1,"caoutchouc,doux,légume,phénolé"
51100-54-0,CCCCCCCC(O)C=C,"champignon,cire d'abeille,fromage,lactique,légume,terre,vert"
51115-63-0,CCC(C)COC(=O)c1ccccc1O,"baie,balsamique,boisé,floral,orchidée,vert"
51115-64-1,CCCC(=O)OCC(C)CC,"abricot,épicé,fruité,groseille,poire,pomme,rhum"
51115-67-4,CNC(=O)C(C)(C(C)C)C(C)C,"frais,menthé,menthol"
51115-70-9,CCNC(=O)C(CC)(C(C)C)C(C)C,menthé
51154-96-2,CCCCCC1CC=CC(=O)O1,"cire d'abeille,crème,doux,fruité,lait frais,noix de coco,vert"
512-13-0,CC1(C)C2CCC(C)(C2)C1O,"agrume,boisé,camphre,citron vert,épicé,eucalyptus,frais,herbe,menthé,pin,terre,vert"
513-44-0,CC(C)CS,"légume,moutarde"
513-85-9,C[C@@H](O)[C@H](C)O,"beurre,crème,oignon"
513-86-0,CC(O)C(C)=O,"beurre,crème,doux,gras,huile,lactique,lait frais,yaourt"
5132-75-2,CCCCCCCCOC(=O)CCCCCC,"gras,miel"
5137-52-0,CCCCCOC(=O)Cc1ccccc1,"animal,chocolat,tabac"
5146-66-7,CC(C)=CCC\C(C)=C\C#N,"aldéhyde,citron,métal"
515-00-4,CC1(C)C2CC=C(CO)C1C2,"balsamique,boisé,camphre,doux,frais,médicinal,menthé,pin,vert"
515-03-7,CC1(C)CCC[C@@]2(C)C1CC[C@@](C)(O)[C@@H]2CC[C@@](C)(O)C=C,"ambre gris,balsamique,boisé,bouillon,fromage de chèvre,herbe,sauge"
515-69-5,CC(C)=CCC[C@](C)(O)[C@@H]1CCC(=CC1)C,"floral,poivre"
51532-26-4,CCCCCCCC(=O)OC\C=C(C)\CCC=C(C)C,"cognac,fruité,rose"
51534-66-8,CC[C@H](SC)C(=O)OC,"fruité,légume,moisi,œuf,oignon,soufré,vert"
51566-62-2,CC(CCC=C(C)C)CC#N,"agrume,cire d'abeille,citron,floral,métal"
51608-18-5,CC/C=C/CC1CCCC1=O,"abricot,coumarine,crème,noix de coco,pêche"
51652-47-2,CCCC\C=C/CCCCO,"gras,rose"
5166-53-0,CC(C)\C=C\C(C)=O,"baie,fromage,fruité"
5173-69-3,CC1CCCC2(C)CCCCC12O,"humus,moisi"
5173-70-6,C[C@H]1CCC[C@@]2(C)CCCC[C@@]12O,"humus,moisi"
51755-66-9,CCCC(CCO)SC,"épicé,légume,métal,soufré,terre,vert,wasabi"
51755-83-0,CCCC(S)CCO,"bouillon,café,fruit de la passion,fruit exotique,fruité,goyave,œuf,poulet,raisin,soufré"
51755-85-2,CCCC(CCOC(C)=O)SC,"épicé,fruité,légume,soufré,vert"
5182-36-5,CC1CC(C)(OC(C)O1)c2ccccc2,"agrume,gardénia,vert"
52019-78-0,CCCCC(C)O,"baie,métal,vert"
5205-11-8,CC(C)=CCOC(=O)c1ccccc1,"chocolat,fruité,thé,ylang-ylang"
5208-59-3,CC(C)C1CCC2(C)C3CCC(=C)C3C12,boisé
52089-55-1,CCCCC(O)C(=O)OCC,vert
52210-18-1,CC(OC(C)=O)/C=C/C1C(=CCCC1(C)C)C,"baie,boisé,floral,violette"
523-47-7,CC(C)[C@@H]1CC=C(C)[C@@H]2CC=C(C)C[C@@H]12,boisé
523-80-8,COc1cc(CC=C)c(OC)c2OCOc12,herbe
5240-32-4,CC(=O)OC1(CCCCC1)C#C,"boisé,herbe,immortelle"
52474-60-9,CC(C)=CCCC1=CCCC(C)(C1)C=O,"aldéhyde,muguet,ozone,raisin"
52475-89-5,CC(C)=CCCC1=CCCC(C1)C=O,"frais,fruité,orange,ozone"
52514-66-6,COc1cc(ccc1O)C2OC(C)CC(C)(C)O2,"crème,fumée,vanille"
52514-67-7,CCOc1cc(ccc1O)C2OC(C)CC(C)(C)O2,"crème,phénolé,vanille"
52517-67-6,CCCCCCCCCCC(OC)OC,"agrume,floral"
52557-97-8,COC(=O)C1CC2CC1C(C)(C)C2,"boisé,fruité,sapin,vert"
526-75-0,Cc1cccc(O)c1C,"chimique,moisi,phénolé"
527-60-6,Cc1cc(C)c(O)c(C)c1,"café,phénolé"
5273-85-8,COc1cc(\C=C\C)cc(OC)c1OC,floral
52788-71-3,CCOC(=O)C1OC1c2ccc(C)cc2,"floral,framboise,rose"
52789-73-8,CC(=O)OC1(CCCCC1)C(C)=O,"figue,floral,fruit à coque,fruité,miel,rose"
5287-45-6,CC(C)=CCS,"fumée,moufette,oignon,poireau"
529-01-1,CC(=C)[C@@H]1CCC(=CC1=O)C,"fruité,herbe"
5292-21-7,OC(=O)CC1CCCCC1,"cacao,caramel,fromage,gras,miel,moisi,poudré,sirop d'érable"
53018-24-9,COC1CC2CC1C3C=CCC23,"doux,herbe,melon,vert"
53046-97-2,CC\C=C/C\C=C/CCO,"cire d'abeille,concombre,doux,frais,gras,huile,légume,melon,vert"
53053-51-3,COC(=O)CCCSC,"ail,ananas,chou,ciboulette,fromage,fruité,oignon,soufré,vert"
53082-57-8,CCCOC(=O)C(/C)=C\C,"fruité,rose"
53082-58-9,CCC(C)CCOC(=O)C(/C)=C\C,"camomille,floral"
531-26-0,COc1cc(CC=C)ccc1OC(=O)c2ccccc2,"clou de girofle,épicé"
531-59-9,COc1ccc2C=CC(=O)Oc2c1,"doux,fève tonka"
5320-75-2,O=C(OC/C=C/c1ccccc1)c2ccccc2,"beurre,épicé,fruité"
53243-60-0,CC(/CCc1ccccc1)=C\C#N,citron
53263-58-4,CCC1CC(=C(O)C1=O)C,caramel
533-18-6,CC(=O)Oc1ccccc1C,"doux,floral,médicinal"
5331-14-6,CCCCOCCc1ccccc1,"champignon,gardénia,métal,vert"
5331-32-8,CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,"balsamique,boisé,camphre"
5333-83-5,CCCC(=O)c1sccc1,bœuf cuit
53338-05-9,CC(C)CCC1(C)OCC=CCO1,"ambre gris,doux,herbe,lavande"
53398-78-0,CCC/C=C/COC=O,"rhum,vert"
53398-80-4,CCC/C=C/COC(=O)CC,"crème,fruité,huile,poire,pomme,poudré,savon,vert"
53398-83-7,CCC/C=C/COC(=O)CCC,"abricot,banane,fermentaire,frais,fruité,gras,herbe,huile,orchidée,pomme,vert"
53398-85-9,CC\C=C/CCOC(=O)C(C)CC,"baie,cire d'abeille,doux,frais,fruité,poire,pomme,sueur,vert"
53398-86-0,CCCCCC(=O)OC\C=C\CCC,"cire d'abeille,cognac,herbe,kiwi,poire,pomme,pomme verte,vert"
53399-81-8,CCOC(=O)C(C)CC=C,"ananas,banane,doux,épicé,ester,frais,fruité,pomme,vert"
534-15-6,COC(C)OC,"alcool,éther,fleur de troëne,foin,fruité,vert"
534-22-5,Cc1occc1,"acétone,amande,cacao,café,chocolat,éther,fruit à coque,vert"
53448-07-0,CCCCCCCC\C=C\C=O,"agrume,aldéhyde,cire d'abeille,écorce d'orange,fruité,graisse,gras,vert"
53475-15-3,CSC(C)C(C)=O,"coquillage,crème,cuit,gras,huile,lait frais,pomme de terre,pomme de terre cuite,terre"
53488-14-5,CCCCCCCCOCC=O,"doux,floral"
5349-62-2,CC(C)CC(=O)Cc1ccccc1,"boisé,doux,épicé,fruité,sucre brûlé"
53498-32-1,CC(C)Cc1sc(C)c(C)n1,"fenouil,fruit à coque,légume,réglisse,rose,terre,vert"
5350-03-8,CCCCCCCCCCCC(=O)OCCCCC,"cire d'abeille,huile"
536-50-5,CC(O)c1ccc(C)cc1,"aldéhyde,amande,aubépine,épicé,floral,foin,fruit à coque,poudré,raisin"
536-59-4,CC(=C)C1CCC(=CC1)CO,"boisé,cardamome,cire d'abeille,cumin,doux,écorce d'orange,épicé,floral,gras,lilas,vert"
536-60-7,CC(C)c1ccc(CO)cc1,"carvi,cuir,cumin,épicé,gras,herbe"
536-78-7,CCc1cccnc1,"caramel,cuir,mousse,noisette"
5362-56-1,CC(C)\C=C/C=O,"aldéhyde,boisé,brandy,cidre,cognac,épicé,éther,frais,fruité,herbe,pomme,pomme cuite,vert"
53751-40-9,COc1ccc(COC(C)=O)cc1OC,"baie,floral,frais,rose"
53767-93-4,CC(CCCC(C)(C)OC(C)=O)C=C,"bergamote,citron vert,lavande"
538-65-8,CCCCOC(=O)/C=C/c1ccccc1,"balsamique,cacao,épicé,fruité"
538-86-3,COCc1ccccc1,"éther,floral,fruité,jacinthe,phénolé,vert,ylang-ylang"
