cas,smile,odors
104-21-2,COc1ccc(COC(C)=O)cc1,"balsamique,cerise,coumarine,crème,doux,épicé,fève tonka,fruité,poudré,prune,réglisse,vanille"
104-27-8,CCC(=O)/C=C/c1ccc(OC)cc1,"amande,anisé,cerise,coumarine,crème,doux,fruité,héliotrope,poudré,vanille"
104-45-0,CCCc1ccc(OC)cc1,"anis,basilic,bière,doux,épicé,fenouil,herbe,réglisse"
104-46-1,COc1ccc(\C=C\C)cc1,"anis,médicinal,réglisse"
104-50-7,CCCCC1CCC(=O)O1,"abricot,cire d'abeille,coumarine,crème,doux,fève tonka,fruité,gras,grillé,lactique,lait frais,noix de coco,pêche,savon"
104-53-0,O=CCCc1ccccc1,"agrume,aldéhyde,balsamique,floral,fruité,melon,styrax,vert"
104-54-1,OC\C=C/c1ccccc1,"balsamique,cannelle,épicé,fermentaire,floral,jacinthe,levure,miel,poudré,vert"
104-55-2,O=C/C=C/c1ccccc1,"cannelle,épicé"
104-57-4,O=COCc1ccccc1,"amande,baie,canneberge,cerise,chimique,épicé,frais,fraise,fruité,thé"
104-61-0,CCCCC[C@H]1CCC(=O)O1,"beurre,cire d'abeille,crème,doux,gras,huile,lait frais,noix de coco,pêche"
104-62-1,O=COCCc1ccccc1,"banane verte,cresson,herbe,jacinthe,narcisse,phénolé,vert"
104-64-3,O=COCCCc1ccccc1,"cannelle,floral,jacinthe,miel"
104-65-4,O=COC\C=C\c1ccccc1,"balsamique,cannelle,épicé,floral,fruité,herbe,narcisse,vert,vin"
104-67-6,CCCCCCC[C@H]1CCC(=O)O1,"abricot,crème,fruit à coque,fruité,gras,noix de coco,noix de macadamia,pêche,vanille"
104-76-7,CCCCC(CC)CO,"doux,floral,frais,fruité,gras,huile,vert"
104-87-0,Cc1ccc(C=O)cc1,"amande amère,cannelle,cerise,doux,épicé,fruité,phénolé"
104-90-5,CCc1ccc(C)nc1,"beurre,céréale,pomme de terre,solvant,soufré,terre,vin"
104-93-8,COc1ccc(C)cc1,"boisé,camphre,frais,fruit à coque,menthé,naphtaline,narcisse,phénolé,poudré,ylang-ylang"
10402-33-2,COc1cc(CC=C)ccc1OC(=O)Cc2ccccc2,"doux,miel,œillet"
